1,330,1080
2,327,1106
3,322,1151
4,320,1172
5,323,1146
6,326,1116
7,326,1116
8,326,1118
9,324,1134
10,323,1149
11,330,1086
12,323,1144
13,331,1067
14,330,1084
15,318,1144
16,326,1116
17,333,1050
18,331,1064
19,339,1000
20,342,968
21,340,982
22,331,1061
23,337,1010
24,338,995
25,335,1023
26,336,1013
27,341,964
28,314,1049
29,293,1018
30,317,1014
31,332,1016
32,309,1107
33,322,1095
34,294,1102
35,330,1054
36,322,1121
37,307,1208
38,310,1220
39,296,1244
40,297,1242
41,313,1185
42,289,1399
43,294,1347
44,311,1196
45,300,1287
46,295,1325
47,303,1254
48,293,1349
49,306,1222
50,310,1172
51,300,1265
52,287,1394
53,295,1302
54,291,1336
55,307,1197
56,304,1197
57,299,1258
58,294,1308
59,316,1047
60,314,1073
61,328,931
62,335,842
63,321,1008
64,331,877
65,334,863
66,325,947
67,350,703
68,356,629
69,362,556
70,355,607
71,360,560
72,365,495
73,367,407
74,366,426
75,366,466
76,368,414
77,369,420
78,371,390
79,371,382
80,373,355
81,374,345
82,370,364
83,371,349
84,371,338
85,371,349
86,374,308
87,376,314
88,377,305
89,377,308
90,377,310
91,377,292
92,374,287
93,376,274
94,375,273
95,377,261
96,379,269
97,376,260
98,378,259
99,367,277
100,355,294
101,353,302
102,352,308
103,349,323
104,346,371
105,339,437
106,326,599
107,326,578
108,298,1093
109,278,1473
110,278,1475
111,278,1476
112,278,1476
113,296,917
114,304,628
115,305,556
116,307,474
117,308,464
118,311,505
119,318,416
120,320,379
121,334,353
122,330,347
123,360,279
124,343,300
125,346,288
126,328,304
127,322,310
128,323,304
129,324,303
130,321,283
131,324,278
132,322,281
133,324,279
134,328,270
135,334,260
136,329,266
137,329,266
138,333,256
139,334,253
140,334,252
141,339,239
142,333,250
143,348,216
144,309,296
145,304,307
146,303,308
147,303,309
148,303,309
149,304,308
150,300,314
151,299,315
152,297,319
153,289,329
154,293,326
155,290,329
156,289,331
157,289,331
158,289,332
159,291,331
160,293,328
161,292,331
162,292,332
163,292,332
164,289,335
165,289,339
166,290,337
167,288,342
168,288,343
169,288,345
170,289,343
171,283,352
172,282,353
173,284,352
174,281,357
175,282,356
176,282,359
177,281,360
178,280,362
179,281,360
180,280,363
181,278,365
182,279,364
183,277,368
184,-1,-1
185,274,374
186,274,374
187,269,377
188,270,377
189,273,375
190,268,380
191,271,379
192,270,380
193,269,380
194,271,379
195,270,382
196,270,382
197,267,385
198,268,386
199,268,386
200,264,390
201,266,390
202,268,389
203,267,391
204,266,396
205,267,392
206,267,393
207,267,394
208,263,395
209,-1,-1
210,257,403
211,263,401
212,266,401
213,266,403
214,266,403
215,266,403
216,-1,-1
217,272,1456
218,272,1456
219,270,930
220,272,1456
221,272,1456
222,-1,-1
223,-1,-1
224,274,1453
225,274,1453
226,274,1453
227,274,1453
228,274,1453
229,274,1453
230,274,1453
231,274,1453
232,274,1453
233,274,1453
234,274,1453
235,274,1453
236,274,1453
237,274,1452
238,274,1453
239,274,1453
240,274,1453
241,274,1453
242,274,1453
243,274,1453
244,274,1453
245,274,1453
246,274,1453
247,274,1452
248,274,1452
249,274,1452
250,274,1452
251,274,1452
252,274,1452
253,274,1451
254,274,1451
255,274,1451
256,274,1451
257,274,1451
258,274,1450
259,274,1450
260,274,1450
261,274,1450
262,274,1450
263,274,1450
264,275,1449
265,275,1449
266,275,1449
267,274,1449
268,274,1449
269,275,1449
270,275,1449
271,274,1449
272,275,1451
273,275,1451
274,275,1450
